step,wraith_count,serpent_count,ritual_counter
1,19,0,0
2,35,0,0
3,49,0,0
4,63,0,0
5,74,0,0
6,91,0,0
7,104,0,0
8,124,0,0
9,142,0,0
10,157,1,0
11,169,1,0
12,179,1,0
13,195,1,0
14,210,1,0
15,221,1,0
16,236,1,0
17,251,1,0
18,266,1,0
19,278,1,0
20,293,1,0
21,309,1,0
22,316,1,0
23,329,1,0
24,344,1,0
25,359,1,0
26,382,1,0
27,400,1,0
28,414,1,0
29,424,1,0
30,435,1,0
31,449,1,0
32,470,1,0
33,484,1,0
34,499,1,0
35,520,1,0
36,534,1,0
37,554,1,0
38,569,1,0
39,583,1,0
40,594,1,0
41,608,1,0
42,622,1,0
43,634,1,0
44,645,1,0
45,659,1,0
46,679,1,0
47,692,1,0
48,709,1,0
49,724,1,0
50,741,1,0
51,758,1,0
52,774,1,0
53,792,1,0
54,806,1,0
55,830,1,0
56,855,1,0
57,869,1,0
58,883,1,0
59,903,1,0
60,914,1,0
61,924,1,0
62,938,1,0
63,950,1,0
64,960,1,0
65,975,1,0
66,988,1,0
67,1002,1,0
68,1013,1,0
69,1031,1,0
70,1044,1,0
71,1053,1,0
72,1068,1,0
73,1078,1,0
74,1088,1,0
75,1103,1,0
76,1109,1,0
77,1122,1,0
78,1134,1,0
79,1150,1,0
80,1168,1,0
81,1182,2,0
82,1191,2,0
83,1202,2,0
84,1223,2,0
85,1238,2,0
86,1254,2,0
87,1264,2,0
88,1278,2,0
89,1287,2,0
90,1307,2,0
91,1322,2,0
92,1331,2,0
93,1346,2,0
94,1362,2,0
95,1370,2,0
96,1390,2,0
97,1410,2,0
98,1423,2,0
99,1435,2,0
100,1447,2,0
101,1464,2,0
102,1480,2,0
103,1495,2,0
104,1511,2,0
105,1526,2,0
106,1539,2,0
107,1556,2,0
108,1579,2,0
109,1593,2,0
110,1606,2,0
111,1624,3,0
112,1639,3,0
113,1655,3,0
114,1677,3,0
115,1693,3,0
116,1714,3,0
117,1728,3,0
118,1742,3,0
119,1752,3,0
120,1769,3,0
121,1778,3,0
122,1791,3,0
123,1811,3,0
124,1818,3,0
